name,overall_rating,potential,national_team,national_rating
F. Sotoca,70,70,,
Witi,70,77,,
C. Aboagye,70,76,,
P. Heise,70,70,,
M. Kieftenbeld,70,71,,
K. Bistrović,70,82,,
J. Eggestein,70,83,,
Igor Rossi,70,71,,
L. Thomas,70,71,,
D. Johnson,70,73,,
A. Baby,70,70,,
C. Valencia,70,70,,
Eber Bessa,70,71,,
N. Ninković,70,75,,
Fábio Cardoso,70,77,,
P. Bartolomei,70,70,,
N. Dovedan,70,74,,
A. Engin,70,82,,
O. Nguette,70,75,,
O. Lewicki,70,72,,
M. El Kabir,70,70,,
L. Villalba,70,75,,
J. Vanlerberghe,70,77,,
F. Falco,70,70,,
M. Franke,70,74,,
C. Nyman,70,73,,
E. Imorou,70,70,,
M. Ardemagni,70,70,,
M. Matvienko,70,80,,
G. Díaz,70,70,,
I. Plastun,70,71,,
P. Cuadra,70,79,,
T. Kister,70,70,,
S. Aigner,70,70,,
C. Oliveira Souza,70,79,,
G. Gimbert,70,70,,
Z. Bakkali,70,76,,
S. Manolev,70,70,,
K. N'Doram,70,79,,
Alef,70,76,,
Javi Lara,70,70,,
T. Hubočan,70,70,,
D. Fisher,70,74,,
S. Martínez,70,73,,
G. Gómez,70,70,,
Javi Varas,70,70,,
Nilson Padilho,70,70,,
M. Seuntjens,70,72,,
F. Mercado,70,70,,
M. Duelund,70,78,,
J. Onguéné,70,82,,
R. Cardozo,70,70,,
B. Röcker,70,71,,
C. Bovo,70,70,,
E. Godoy,70,77,,
F. Aristeguieta,70,73,,
K. Kanatsızkuş,70,77,,
E. Videla,70,70,,
Mama Baldé,70,78,,
P. Álvarez,70,70,,
L. Cattermole,70,70,,
N. Colazo,70,70,,
J. García,70,70,,
S. Iacoponi,70,70,,
R. Lenis,70,71,,
D. Williams,70,72,,
B. Urribarri,70,70,,
K. Ehizibue,70,75,,
S. Delev,70,70,,
S. Kaya,70,72,,
J. Dahlin,70,70,,
V. Huerta,70,73,,
R. Alioui,70,71,,
Gus Ledes,70,73,,
V. Demarconnay,70,70,,
J. San Román,70,70,,
J. Murillo,70,79,CD Tondela,69
D. Aleksić,70,71,,
F. Acuña,70,70,,
C. Traoré,70,78,,
C. Mandanne,70,70,,
E. Arango,70,73,,
H. Menosse,70,70,,
N. Dyer,70,70,,
J. Lewis,70,82,Northern Ireland,71
Lucas João,70,73,,
Gabriel Xavier,70,74,,
C. Coosemans,70,73,,
Bóveda,70,70,,
M. Bani,70,75,,
Derley,70,70,,
M. García,70,70,,
J. Domínguez,70,70,,
M. Pajač,70,72,,
Sevinho Santos,70,70,,
D. Sow,70,80,BSC Young Boys,71
Philipe Sampaio,70,77,,
R. Coly,70,77,,
J. Williams,70,74,,
B. Ketkeophomphone,70,70,,
A. Costa,70,70,,
Xisco,70,70,,
T. Buffel,70,70,,
S. Luperto,70,80,,
J. Van Rankin,70,74,,
Lasure,70,74,,
I. Atiemwen,70,77,,
J. Bacuna,70,77,,
G. Kerk,70,75,,
C. Chávez,70,70,,
X. Kouassi,70,70,,
Nino,70,70,,
M. George,70,75,,
J. Obita,70,75,,
G. Ţucudean,70,71,,
J. Robinson,70,75,,
M. Formica,70,70,,
J. Cortés,70,70,,
Iriome,70,70,,
G. Obertan,70,70,,
Luan Sendeiro,70,70,,
E. Triverio,70,70,,
L. Evans,70,75,,
Y. Touzghar,70,70,,
A. Farrell,70,71,,
J. Rivierez,70,70,,
S. Logan,70,70,,
Marc Cardona,70,79,,
Marlinito Dias,70,70,,
O. Shevchenko,70,72,,
N. Viola,70,70,,
L. Tomlin,70,70,,
F. Ben Mustapha,70,72,,
I. Saadi,70,71,,
A. Derviševič,70,73,,
P. Huntington,70,70,,
M. Cash,70,81,,
B. Nieuwkoop,70,75,,
L. Cáceda,70,70,,
Mauro Júnior,70,82,,
Jean Cléber,70,70,,
Ruiz de Galarreta,70,75,,
António Filipe,70,70,,
C. Hudson-Odoi,70,87,,
S. Yatabaré,70,70,,
B. Capon,70,70,,
Breno Bemposta,70,70,,
M. Dos Santos,70,70,,
A. Balić,70,77,,
R. Rúnarsson,70,78,Iceland,72
G. Espinoza,70,70,,
V. Sielis,70,70,,
N. Leguizamón,70,76,,
K. Dowell,70,83,,
O. Burke,70,81,,
C. Fuentes,70,74,,
R. Kurzawa,70,71,,
J. Madueña,70,70,,
A. Mabil,70,78,Australia,73
M. Mostefa,70,70,,
J. Meneses,70,72,,
Oriol Riera,70,70,,
L. Venuti,70,75,,
A. Caci,70,81,,
J. Gillet,70,70,,
A. Espino,70,71,,
J. Campuzano,70,82,,
F. Holland,70,70,,
M. Kone,70,70,,
J. Marveaux,70,70,,
Germán,70,70,,
T. Hiariej,70,70,,
R. Nissen Kristensen,70,78,,
O. González,70,70,,
D. Cvetinović,70,70,,
T. Bunbury,70,70,,
C. Ramos,70,70,,
M. Robak,70,70,,
M. Pospíšil,70,71,,
N. Leali,70,73,,
G. Kagelmacher,70,70,,
P. Mahlambi,70,84,,
K. Andrić,70,74,,
M. Svanberg,70,85,,
Jorge Sáenz,70,80,,
B. Behrendt,70,72,,
F. Hasani,70,70,,
Paulo Henrique,70,70,,
Nolaskoain,70,81,,
Jordi Mboula,70,85,,
Jailson Oliva,70,70,,
C. Espinoza,70,77,,
Raphael Paneira,70,70,,
J. Windass,70,73,,
Christian Fernández,70,70,,
Vinicius Trieiro,70,70,,
B. Cufré,70,81,,
F. Picault,70,70,,
B. Guillaume,70,76,,
P. Arajuuri,70,70,Finland,70
R. Maiello,70,70,,
Park Joo Ho,70,70,,
I. Akhmetov,70,82,,
C. N'Doye,70,70,,
S. Hogan,70,72,,
L. Benegas,70,70,,
R. Braña,70,70,,
Ricardo Lopes,70,70,,
L. Desábato,70,70,,
A. Mühling,70,72,,
M. Olivera,70,80,,
Renaldo Justinho,70,70,,
C. Adam,70,70,,
R. Raldes,70,70,,
R. Windbichler,70,72,,
M. D'Alessandro,70,70,,
G. Larsonneur,70,81,,
D. Moreno,70,73,Colombia,79
Lee Jae Sung,70,70,,
E. Saveljich,70,73,,
R. Hassan,70,70,,
J. Sánchez,70,70,,
N. Carreño,70,75,,
P. Jagne,70,70,,
G. Peñalba,70,70,,
M. Cafaro,70,82,,
F. De Paul,70,72,,
G. Gianniotas,70,73,,
J. Villafaña,70,70,,
T. Bruns,70,71,,
F. Haugen,70,73,,
A. Weber,70,70,,
E. Rexhbeçaj,70,81,,
S. Gakpé,70,70,,
F. Klein,70,70,,
C. Forsyth,70,70,,
Lee Seung Gi,70,70,,
G. Gardner,70,70,,
J. Gol,70,70,,
N. Gorosito,70,70,,
Lee Seung Woo,70,76,,
Alam Basteirinho,70,70,,
H. Henao,70,70,,
A. Bouzat,70,76,,
B. Garnica,70,76,,
M. Romero,70,83,,
A. Bobichon,70,76,,
J. Domínguez,70,70,,
C. Insaurralde,70,70,,
Iván Sánchez,70,71,,
Moon Seon Min,70,70,,
A. Trajkovski,70,73,,
B. Myhill,70,70,,
I. Dia,70,70,,
Saúl,70,77,,
M. Zimmermann,70,73,,
F. Bellugou,70,70,,
C. Gardner,70,70,,
M. Mancienne,70,70,,
Kim Seung Dae,70,70,,
Lionn,70,70,,
Jefferson Santos,70,71,,
F. Deli,70,75,,
C. Dunkley,70,72,,
A. Kara,70,73,,
C. Vilches,70,70,,
N. Brighenti,70,70,,
A. Uchida,70,70,,
Y. Kalfa,70,72,,
J. Mosquera,70,70,,
M. Eriksson,70,70,,
J. Worrall,70,81,,
Rubén,70,70,,
H. Vaca,70,78,,
Rodrigo Pinho,70,70,,
G. Celis,70,73,,
R. Leeuwin,70,70,,
P. Schobesberger,70,73,,
J. Swift,70,75,,
L. Thy,70,71,,
K. Rosenberry,70,75,,
R. Aarons,70,77,,
Alfonso Herrero,70,76,,
G. Alcoba,70,70,,
L. Baker,70,77,,
P. Wszołek,70,70,,
J. McEachran,70,73,,
A. Bjelica,70,72,,
J. Pearce,70,70,,
B. Cortés,70,80,Colo-Colo,71
R. Wolski,70,73,,
Juan Muñoz,70,76,,
E. Rolón,70,76,,
J. Berthomier,70,70,,
J. Angulo,70,70,,
G. Pegolo,70,70,,
Ansel Barnisco,70,70,,
H. Quiñones,70,71,,
Nono,70,70,,
Miguel Luís,70,85,,
J. Busk,70,75,,
A. Stevanovic,70,70,,
C. Oliva,70,78,,
D. Zuma,70,77,,
O. Okwonkwo,70,85,,
C. Auzqui,70,70,,
L. Faravelli,70,75,,
J. Souttar,70,83,,
Bruno Nascimento,70,72,,
K. Laribi,70,70,,
J. Guerrero,70,70,,
R. Dwamena,70,79,,
B. Tekpetey,70,79,,
D. Hoesen,70,70,,
T. Necid,70,70,,
M. Bero,70,78,,
Allan Ardaújo,70,70,,
B. Schenkeveld,70,72,,
J. Kirchhoff,70,71,,
Aridane,70,71,,
M. Volta,70,70,,
E. Seka,70,70,,
Y. Kobayashi,70,72,,
N. Fernández,70,70,,
D. Jevtić,70,72,,
D. Antolić,70,70,,
D. Opare,70,70,,
J. Makengo,70,80,,
N. Leyes,70,70,,
D. Fletcher,70,70,,
D. Keet,70,71,,
V. Sarı,70,70,,
A. Elmohamady,70,70,Egypt,73
A. Ábalos,70,70,,
R. Ziegler,70,70,,
David Fernández,70,70,,
Akapo,70,75,,
C. Ascues,70,75,,
M. Barrow,70,71,,
M. Falzerano,70,71,,
F. González,70,70,,
W. Faes,70,79,,
S. Kerk,70,74,,
F. Tabanou,70,70,,
M. Yattara,70,74,,
A. Dona Ndoh,70,70,,
L. Trałka,70,70,,
D. Appiah,70,71,,
Manu Vallejo,70,82,,
Gerard Valentín,70,75,,
E. Rakip,70,78,,
M. Liendl,70,70,,
J. Sánchez,70,77,,
P. Pentke,70,70,,
A. Lukimya,70,70,,
F. Platte,70,77,,
N. Aguirre,70,70,,
G. Mackay-Steven,70,70,,
D. González,70,70,,
D. Cabrera,70,70,,
Lee Keun Ho,70,70,,
C. Ramirez,70,71,,
J. Lefort,70,75,,
H. Nielsen,70,73,,
M. Lehmann,70,70,,
A. Balzano,70,70,,
T. Kristensen,70,70,,
F. Álvarez,70,73,,
J. Bokila,70,70,,
Carlos Gutiérrez,70,71,,
S. Vergini,70,70,,
E. Falkenburg,70,70,,
Y. Kakitani,70,70,,
S. Popov,70,70,Bulgaria,67
E. Blanco,70,70,,
S. Ameobi,70,71,,
P. Anton,70,73,,
A. Malarz,70,70,,
Jairo Farnias,70,70,,
Lourival Dinisco,70,70,,
M. Kelemen,70,70,,
M. Saito,70,70,,
O. Kemen,70,79,,
F. Schnellhardt,70,74,,
Kim Bo Kyung,70,70,,
V. Kadlec,70,72,,
João Lucas,70,74,,
J. Williams,70,79,,
C. Higuita,70,77,,
V. Angulo,70,70,,
M. Sampirisi,70,71,,
B. Leroy,70,71,,
I. Hagi,70,84,,
G. Þórarinsson,70,71,,
Luiz Antônio,70,70,,
F. Ogier,70,70,,
B. Parker,70,70,,
A. Canelo,70,71,,
U. Hünemeier,70,70,,
L. Figueroa,70,70,,
F. Bradarić,70,70,,
D. Geiger,70,84,,
Han Chan Hee,70,75,,
Luís Machado,70,71,,
Ewandro,70,79,,
V. Ibarbo,70,70,,
B. Corgnet,70,70,,
Lombán,70,70,,
R. Riou,70,70,,
D. Batallini,70,78,,
Barbosaldinho,70,70,,
J. Valenzuela,70,70,,
F. Torijano,70,70,,
H. Lansbury,70,70,,
F. Bandinelli,70,78,,
D. Ousted,70,70,,
D. John,70,78,,
A. González,70,72,,
F. Veseli,70,74,,
D. de Buen,70,72,,
D. Solanke,70,84,,
K. Çörekçi,70,71,,
P. Šteinbors,70,70,,
Jony Reitosa,70,70,,
J. Cabezas,70,71,,
J. Hochscheidt,70,70,,
G. Hendrickx,70,76,,
Cao Yunding,71,71,,
I. Cofie,71,72,,
B. Róchez,71,75,,
R. Zentner,71,79,,
R. James,71,85,,
R. Beerens,71,71,,
Eduardo Fonseira,71,71,,
O. Govea,71,78,,
Cristian López,71,71,,
M. Männel,71,71,,
M. Rygaard,71,71,,
G. Hanley,71,72,,
J. Lynch,71,71,,
S. Colombi,71,71,,
P. Ševčík,71,77,,
Marco Rocha,71,71,,
Nathael Silbeira,71,71,,
A. Maitland-Niles,71,83,,
U. Đurđević,71,76,,
Y. Candelo,71,71,,
M. Rodriguez,71,71,,
David Simón,71,71,,
A. Federici,71,71,,
A. Ghazal,71,74,,
Felipe,71,71,,
G. Acosta,71,71,,
A. Lusamba,71,78,,
P. Terracciano,71,72,,
L. Krajnc,71,73,Slovenia,75
T. Hemed,71,71,,
E. Conde,71,71,,
J. Bolingi,71,75,,
Heitinho Zanon,71,71,,
V. Ayala,71,71,,
A. Ienaga,71,71,,
Arsénio,71,71,,
Patrick,71,71,,
L. Cavanda,71,71,,
M. Peybernès,71,72,,
Deivid,71,71,,
K. Zohore,71,76,,
D. Lekić,71,71,,
R. Sawyers,71,72,,
Pombaxinho,71,71,,
R. Nouri,71,71,,
J. Isijara,71,71,,
J. Callsen-Bracker,71,71,,
R. Faty,71,71,,
A. Saelemaekers,71,83,,
L. Mühl,71,81,,
Z. Kalmár,71,78,,
Mano,71,71,,
E. Calaió,71,71,,
A. Wilkinson,71,71,,
K. Sugimoto,71,73,,
C. Martina,71,71,,
V. Angban,71,80,Côte d'Ivoire,75
E. Remedi,71,78,,
V. Figueroa,71,71,,
C. O'Dowda,71,78,Republic of Ireland,74
Arroyo,71,71,,
A. Ríos,71,71,,
M. Jevtovic,71,76,,
S. Limbombe,71,71,,
I. Doumbia,71,81,,
David Raya,71,78,,
O. Çek,71,71,,
Y. Shakhov,71,71,,
S. Doukara,71,71,,
B. Rabello,71,75,,
Ivo Pinto,71,71,,
Tomeu Nadal,71,72,,
K. Rüegg,71,82,,
L. Singh,71,83,,
R. Baca,71,71,,
A. Weimann,71,71,,
M. Martin,71,71,,
M. Samudio,71,71,,
Nacho Vidal,71,78,,
S. Davis,71,74,,
N. Rimando,71,71,,
Tito,71,71,,
R. Köse,71,71,,
Zhang Linpeng,71,71,,
L. Stulac,71,79,Slovenia,75
Tony Muttinho,71,71,,
Diogo Gonçalves,71,79,,
I. Provedel,71,77,,
A. Tinnerholm,71,71,,
Choi Chul Soon,71,71,,
Ângelo Neto,71,72,,
C. Quintana,71,71,,
J. Dezi,71,72,,
M. van Buren,71,72,,
N. Foor,71,72,,
Adriano,71,71,,
J. Beauguel,71,74,,
L. Antei,71,74,,
E. Adu,71,71,,
R. Lod,71,74,Finland,70
Kang Hyeon Mu,71,75,,
M. Eikrem,71,71,,
A. Godoy,71,71,,
S. Hernández,71,71,,
Tramontinaldo,71,71,,
A. Milić,71,76,,
B. Acosta,71,71,,
A. Gomaa,71,71,,
Ukra,71,71,,
Z. Machach,71,78,,
D. Sallói,71,80,,
J. Laso,71,72,,
B. Kuscevic,71,81,,
Rúben Ferreira,71,71,,
Danilo Silva,71,71,,
P. Mwene,71,75,,
L. Pernica,71,73,,
A. King,71,71,Wales,75
S. Lammers,71,80,,
K. Peterson,71,77,,
D. Marshall,71,71,,
P. Ebert,71,71,,
H. Veerman,71,71,,
Rui Silva,71,77,,
M. Grüttner,71,71,,
Adryan,71,77,,
M. Petržela,71,71,,
E. Şen,71,71,,
F. Boeckx,71,71,,
D. Maroh,71,71,,
Nauzet,71,71,,
T. Clarke,71,71,,
Botía,71,71,,
S. Tonali,71,90,,
David Costas,71,76,,
K. Boli,71,74,,
C. Avevor,71,72,,
H. Wahl,71,74,,
J. De Sart,71,76,,
O. Şişmanoğlu,71,71,,
J. Léa Siliki,71,79,,
A. Calabresi,71,79,,
R. López,71,73,,
J. Vigón,71,71,,
P. Bamford,71,76,,
B. Özcan,71,78,Turkey,76
João Amaral,71,71,,
Luisinho Conradi,71,71,,
J. Walters,71,71,,
Dorado,71,71,,
C. Adjapong,71,81,,
Alex Alegría,71,74,,
Rúben Fernandes,71,71,,
T. Mings,71,73,,
O. Coulibaly,71,71,,
C. Ramírez,71,71,,
P. Faragò,71,72,,
D. Lezcano,71,71,,
D. Gastaldello,71,71,,
M. Beevers,71,71,,
T. Kessler,71,71,,
M. Rohdén,71,71,Sweden,76
Salvador Agra,71,71,,
E. Bello,71,76,,
Manu Morlanes,71,81,,
Evandro,71,71,,
J. Elías,71,78,,
Wagner Orsinho,71,71,,
J. Osorio,71,73,Canada,70
A. Domínguez,71,71,Vélez Sarsfield,71
M. Büchel,71,71,,
J. McLaughlin,71,72,,
Javi Moyano,71,71,,
Y. Barbet,71,74,,
L. Sadiku,71,73,,
Fabrício Baiano,71,73,,
S. McTominay,71,81,Scotland,75
M. Pugh,71,71,,
E. Alioski,71,71,,
Fredy,71,71,,
E. Zelazny,71,74,,
J. Dilrosun,71,86,,
B. Leal,71,71,,
I. Latovlevici,71,71,,
A. Yiadom,71,72,,
A. El Said,71,71,,
Son Jun Ho,71,74,,
A. Voglsammer,71,72,,
M. Pazdan,71,71,,
A. Bouchalakis,71,73,Greece,75
J. Irvine,71,75,Australia,73
O. Bayram,71,71,Turkey,76
A. Turan,71,71,,
D. Mosquera,71,74,,
F. Jozefzoon,71,71,,
J. Tagueu,71,73,,
M. Colin,71,72,,
André Milazisco,71,71,,
M. Tosetti,71,71,,
João Victor,71,74,,
F. Campos,71,76,,
S. Ben Youssef,71,72,,
E. Taşdemir,71,78,,
C. Akpom,71,78,,
P. Frankowski,71,77,Poland,77
T. Dingomé,71,71,,
Paco Montañés,71,71,,
H. Dalsgaard,71,71,Denmark,78
T. Matlaba,71,71,,
D. Foulquier,71,76,,
S. Padoin,71,71,,
D. Contento,71,71,,
T. Oar,71,71,,
Bueno,71,71,,
G. Anestis,71,73,,
J. Boga,71,81,,
Fede,71,81,,
S. Klaiber,71,74,,
S. Adamyan,71,73,,
Y. Erdoğan,71,72,,
Gumbau,71,77,,
L. Wakalible,71,71,,
Antoñito,71,71,,
P. Onuachu,71,78,,
K. Kronholm,71,71,,
P. Oniangué,71,71,,
M. Domizzi,71,71,,
B. Sako,71,71,,
Hélder Barbosa,71,71,,
Túlio Sandoiro,71,71,,
J. Reine-Adélaïde,71,83,,
N. Gyömbér,71,74,,
R. Insigne,71,75,,
M. Gobbi,71,71,,
M. Diskerud,71,71,,
S. Chukwueze,71,85,,
T. Elphick,71,71,,
F. Maouassa,71,80,,
Alejandro Rodríguez,71,71,,
O. Jiménez,71,71,,
L. Vibe,71,71,,
M. Waghorn,71,71,,
B. Wright,71,74,,
Diogo Viana,71,71,,
M. Olsson,71,71,Sweden,76
W. Dutoit,71,71,,
K. McLean,71,72,,
P. Köpke,71,79,,
J. Colback,71,71,,
V. Regini,71,71,,
Álex Martínez,71,71,,
N. Mendez-Laing,71,72,,
B. Marshall,71,71,,
M. Gazzola,71,71,,
B. Samudio,71,79,,
Eltildo Bessa,71,71,,
O. Omoijuanfo,71,76,,
G. Tzavellas,71,71,,
T. Chevalier,71,71,,
S. Jung,71,71,,
Jesús Imaz,71,71,,
S. Ubilla,71,71,,
Jota,71,75,,
Dani Castellano,71,71,,
Vinícius,71,78,,
L. Clarke,71,71,,
Edgar Costa,71,71,,
O. Petrák,71,74,Czech Republic,75
V. Nelsson,71,82,,
Artur,71,76,,
Rafael Lopes,71,72,,
F. Jensen,71,80,Finland,70
R. van Drongelen,71,83,,
P. Ledesma,71,71,,
F. Cerro,71,71,,
M. Kosanović,71,72,,
I. Lichnovsky,71,77,,
Fernando Andrade,71,74,,
L. Ramos,71,71,,
D. Rojas,71,76,,
S. Burchert,71,71,,
O. Alanís,71,71,,
B. Angulo,71,77,,
G. Trauner,71,75,,
Martin Cordeia,71,71,,
Saberto Botelho,71,71,,
Emerson Avintes,71,71,,
R. Rojas,71,80,,
W. González,71,79,,
F. Mussis,71,72,,
M. Dal Hende,71,71,,
E. Perlaza,71,71,,
A. Nukan,71,75,,
M. Spiranovic,71,71,,
Varela,71,71,,
J. Garro,71,72,,
M. Hartmann,71,71,,
C. Araujo,71,71,,
L. Montes,71,71,,
M. Madl,71,71,,
J. Arango,71,71,,
M. Chanot,71,72,,
D. Linsmayer,71,72,,
G. Fofana,71,76,,
J. Velázquez,71,73,,
S. Hierländer,71,71,,
A. Schiavone,71,73,,
D. Zbozień,71,71,,
N. Besara,71,71,,
Roderick Miranda,71,74,,
Adeilson Gesser,71,71,,
W. Camacho,71,71,,
J. Quiñones,71,72,,
Dani Jiménez,71,72,,
B. Salamon,71,72,,
Pita,71,71,,
G. Achilier,71,71,Monarcas Morelia,69
Escassi,71,71,,
I. Pillud,71,71,,
Guilherme Sityá,71,71,,
Filipe Augusto,71,75,,
T. Darikwa,71,72,,
T. Ream,71,71,,
J. Plašil,71,71,,
S. Torrico,71,71,,
D. Asprilla,71,71,,
Elsinho,71,71,,
L. Capezzi,71,79,,
Z. Erdal,71,71,,
Y. Andreu,71,71,,
M. Suárez,71,78,Uruguay,81
J. González,71,81,,
Garrido,71,71,,
Suso Santana,71,71,,
K. Nakamura,71,77,,
G. Gillet,71,71,,
A. Abrashi,71,71,,
C. Wickham,71,75,,
J. Faussurier,71,71,,
M. Bruno,71,73,,
A. Diallo,71,75,,
João Teixeira,71,74,,
J. Morrow,71,71,,
I. Canuto,71,71,,
J. El Yamiq,71,74,,
C. Stanković,71,75,FC Red Bull Salzburg,73
M. Pérez,71,76,,
H. González,71,72,Club Necaxa,68
M. Ilaimaharitra,71,77,,
M. Barragán,71,71,,
A. Milošević,71,74,,
Guillermo,71,74,,
M. Pereira Lage,71,81,,
V. Osimhen,71,82,,
N. Ortigoza,71,71,,
M. Sprocati,71,73,,
S. Piette,71,76,Canada,70
M. Korhut,71,71,,
A. Giannou,71,71,,
J. Mattheij,71,74,,
Paulinho,71,86,,
A. Andrade,71,71,,
M. Barthelmé,71,71,,
Sandro Manoel,71,71,,
N. Ampomah,71,77,,
R. Carrascal,71,74,,
M. Maolida,71,85,,
M. Bjärsmyr,71,71,,
J. Riojas,71,71,,
J. Marriott,71,78,,
Welinton,71,71,,
Mossa,71,71,,
Alex das Freitas,71,71,,
F. Quignon,71,76,,
M. Bakoš,71,71,,
I. Lewczuk,71,71,,
N. De Pauw,71,71,,
J. Šimunović,71,75,,
J. Lopera,71,71,,
E. Valentini,71,71,,
A. Guédioura,71,71,,
J. McClean,71,71,Republic of Ireland,74
Y. Mulumbu,71,71,,
E. Horvath,71,77,United States,74
B. Kadrii,71,71,,
R. Řezník,71,71,Czech Republic,75
K. Walker-Peters,71,80,,
J. Duque,71,71,,
M. Fofana,71,71,,
W. Lautoa,71,71,,
S. Malezas,71,71,,
Paulolettinho,71,71,,
C. Suárez,71,71,,
M. Henriksen,71,73,Norway,75
Zheng Zhi,71,71,,
F. Fragapane,71,72,,
Y. Bodiger,71,79,,
G. Sandoval,71,80,,
D. Muñoz,71,79,,
D. Cools,71,78,,
Abraham González,71,71,,
C. Penilla,71,71,,
Aurélio Buta,71,78,,
S. Coopman,71,76,,
Shikabala,71,71,,
E. Bergström,71,75,,
L. Hejda,71,73,,
M. Bourabia,71,72,,
C. Ikonomidis,71,79,Perth Glory,67
M. Hassen,71,78,,
M. Dijks,71,74,,
Felipe,71,71,,
Y. Toyokawa,71,75,,
Jota,71,85,,
João Afonso,71,71,,
A. Cadavid,71,71,,
C. Christie,71,74,Republic of Ireland,74
O. Kúdela,71,71,,
Xavi Torres,71,71,,
F. Costa,71,77,,
F. Calvo,71,73,,
E. Albayrak,71,72,,
U. Đerić,71,73,,
E. Muñoz,71,73,,
C. Jerome,71,71,,
O. Boscagli,71,80,,
G. Verón,71,71,,
Ewerton,71,74,,
Heriberto Tavares,71,79,,
O. Fernández,71,72,,
L. Di Plácido,71,75,,
Yun Young Sun,71,71,,
D. Polenta,71,73,,
L. Fuentes,71,71,,
L. Seijas,71,71,,
L. Kleinheisler,71,76,,
V. Milinković-Savić,71,79,,
Maikel Mesa,71,72,,
A. Galabinov,71,71,,
F. Wiedwald,71,71,,
K. Steppe,71,71,,
R. Yaremchuk,71,76,,
F. Tissone,71,71,,
Afonso Figueiredo,71,74,,
C. Săpunaru,71,71,Romania,72
J. Zimmer,71,76,,
T. Pledl,71,74,,
K. Coulibaly,71,71,,
J. Harper,71,79,,
D. Sinkgraven,71,74,,
Rúben Micael,71,71,,
N. De la Cruz,71,78,,
Tiago Pombeira,71,71,,
P. Gollini,71,79,,
Cyriac,71,71,,
Fede Vico,71,76,,
J. Mensah,71,72,,
T. Makino,71,71,,
Víctor Díaz,71,71,,
G. Dorrans,71,71,,
A. Henríquez,71,71,,
M. Capuano,71,71,,
W. Mesloub,71,71,,
M. Coda,71,71,,
André Pereira,71,78,,
S. Motta,71,71,,
Osmar,71,71,,
T. Pachonik,71,76,,
Susaeta,71,71,,
J. Larsson,71,71,,
S. Abdullahi,71,79,,
I. Tajouri-Shradi,71,76,,
E. Finlay,71,71,,
Y. El Ghanassy,71,71,,
F. Tomori,71,83,,
Somália,71,71,,
M. Bianchetti,71,72,,
M. Boland,71,71,,
D. Fry,71,83,,
Koo Ja Ryong,71,73,,
U. Radaković,71,77,,
I. Fiolić,71,78,,
F. Andrijašević,71,72,,
Alam Araújo,71,71,,
Dani Calvo,71,75,,
U. Bulut,71,71,,
Francisco Trincão,71,84,,
Diego Galo,71,71,,
E. Kachunga,71,72,,
C. Moritz,71,71,,
F. Barrientos,71,72,,
D. Riascos,71,71,,
T. Moulin,71,71,,
A. Gojak,71,81,,
O. Zahustel,71,72,,
João Bardinho,71,71,,
W. Endo,71,74,,
Pedro López,71,71,,
R. Philippoteaux,71,71,,
R. Himmelmann,71,71,,
R. Gestede,71,71,,
M. Kramer,71,71,,
L. Vitale,71,71,,
R. Benzar,71,74,,
R. Matarrita,71,78,,
R. Carrera,71,71,,
Heitor Gesse,71,71,,
Léo Jardim,71,80,,
G. Kvilitaia,71,75,,
R. Strieder,71,73,,
W. Routledge,71,71,,
J. Hayes,71,71,,
M. Targett,71,80,,
Rodolfo,71,73,,
I. Sacko,71,78,,
Y. Suzuki,71,80,,
M. Nyatama,71,71,,
J. Grimm,71,71,,
C. Puggioni,71,71,,
A. Sagal,71,76,Pachuca,72
X. Mercier,71,71,,
Babanco,71,71,,
K. Tsimikas,71,78,Greece,75
A. Cole,71,71,,
Eugeni,71,78,,
D. Kolovetsios,71,74,,
G. Pezzella,71,83,,
B. Davies,71,79,,
S. Memišević,71,74,,
I. Bangoura,71,71,,
T. Barkhuizen,71,74,,
J. Paterson,71,71,,
I. Pettersson,71,78,,
R. Gauld,71,79,,
S. Silva,71,71,,
R. Ripart,71,73,,
F. Chalov,71,83,,
R. Bauer,71,75,,
S. Grippo,71,71,,
Jaime Romero,71,71,,
G. Bellusci,71,71,,
O. Hawsawi,71,71,,
Go Yo Han,71,71,,
J. Price,71,74,,
T. Barnetta,71,71,,
A. Luci,71,71,,
Lyanco,71,80,,
J. Ruddy,71,71,,
Naranjo,71,77,,
Luis García,71,71,,
K. Beckerman,71,71,,
M. Pavone,71,71,,
Wellington Nem,71,72,,
Serginho,71,71,,
L. Albertengo,71,71,,
M. Makuszewski,71,71,,
A. Nahuelpan,71,71,,
M. Thorsby,71,77,,
T. Knipping,71,74,,
J. Paintsil,71,80,,
E. Cecchini,71,80,,
M. Morishige,71,71,,
J. Correa,71,73,,
A. Cordaz,71,71,,
O. Deschacht,71,71,,
S. Gashi,71,71,,
N. Fernández,71,79,,
S. Aydoğdu,71,71,,
Jordi Calavera,71,77,,
Sergio Herrera,71,73,,
R. Gagliolo,71,71,,
R. Schüller,71,73,Finland,70
J. Murphy,71,76,,
M. Pektemek,71,71,,
O. Skúlason,71,71,,
S. Šćepović,71,71,,
Z. Stieber,71,71,,
Allison Sireo,71,71,,
Sivera,71,78,,
A. Trondsen,71,80,,
J. Botaka,71,73,,
Cafú,72,74,,
C. Mavinga,72,73,,
Vágner Corraldo,72,72,,
